rating,pid,image_type,image_id
-1,1,real,1389
1,1,real,727
-1,1,real,625
1,1,modified,3267
1,1,real,2776
1,1,real,2086
1,1,real,97
0,1,real,1340
1,1,modified,3945
-1,1,real,1060
1,1,modified,3211
-2,1,modified,3346
1,1,real,1710
-2,1,modified,3816
-2,1,modified,3531
-2,1,modified,3451
-2,1,modified,3202
0,1,modified,3716
-1,1,modified,3659
1,1,real,2813
1,1,modified,3740
-2,1,real,356
-1,1,modified,4046
0,1,modified,3746
1,1,real,1098
2,1,real,1958
0,1,modified,3324
1,1,real,2172
1,1,modified,3269
-1,1,real,2440
0,1,modified,3994
-1,1,real,2839
-1,1,real,2040
-2,1,modified,3935
-1,1,real,2346
1,1,real,1849
1,1,modified,3579
1,1,real,997
-2,1,modified,3986
-1,1,real,1429
1,1,real,614
-1,1,modified,3793
-1,1,modified,3756
1,1,real,2847
-1,1,modified,3268
-2,1,modified,3466
-2,1,modified,4070
-1,1,modified,3763
-1,1,real,705
0,1,real,1341
-1,1,real,1045
1,1,real,1807
-1,1,modified,3224
1,1,real,585
1,1,real,494
-1,1,real,1685
-2,1,modified,3824
-2,1,modified,3402
-2,1,modified,3559
-1,1,real,1498
-2,1,modified,3303
1,1,modified,3669
-1,1,real,2703
-1,1,real,445
1,1,real,2537
1,1,real,2746
1,1,modified,3980
-1,1,modified,3574
-1,1,real,2058
-1,1,modified,3909
-2,1,modified,3530
-1,1,modified,3925
-2,1,modified,3570
1,1,real,1601
-1,1,real,2605
-1,1,real,446
-2,1,modified,3515
-2,1,modified,3315
1,1,real,842
-2,1,modified,3292
-1,1,real,1308
-1,1,modified,3710
-2,1,modified,3837
-2,1,modified,3748
1,1,real,572
1,1,real,1971
-1,1,real,2671
-2,1,modified,3845
-2,1,modified,4045
1,1,real,2479
-2,1,modified,4011
-2,1,modified,3834
-2,1,modified,3412
-1,1,real,234
1,1,real,2206
-1,1,modified,3314
-1,1,real,1230
-2,1,modified,3661
1,1,real,1841
1,1,real,1615
2,2,real,69
2,2,real,2283
-2,2,modified,3660
-2,2,modified,3657
-2,2,modified,4027
-2,2,real,2835
-2,2,real,537
-2,2,modified,3425
2,2,real,1577
-2,2,modified,3831
2,2,real,1096
-2,2,modified,3400
2,2,real,911
-2,2,real,1737
-2,2,modified,3633
-2,2,real,479
-2,2,modified,3573
2,2,real,2588
2,2,real,1208
-2,2,real,2347
-2,2,modified,3987
2,2,real,1383
-2,2,real,1469
2,2,real,1197
-2,2,modified,3430
-2,2,modified,3971
2,2,real,320
-2,2,modified,3997
2,2,real,696
2,2,real,2352
2,2,real,1496
-2,2,modified,3631
-2,2,modified,3190
2,2,real,392
-2,2,modified,4048
-2,2,modified,3452
-2,2,modified,3555
2,2,real,2206
2,2,real,1111
2,2,real,692
-2,2,modified,3684
-2,2,modified,3182
-2,2,modified,3479
-2,2,modified,3742
2,2,real,308
2,2,real,2426
2,2,real,887
-2,2,real,1523
2,2,real,2601
-2,2,modified,3179
2,2,real,231
2,2,real,828
-2,2,modified,4058
2,2,real,2557
2,2,real,1823
2,2,real,1892
2,2,real,52
-2,2,modified,3649
-2,2,modified,3443
-2,2,modified,3845
-2,2,modified,3799
2,2,real,2478
-2,2,modified,3311
2,2,real,2099
-2,2,modified,3480
2,2,real,1140
-2,2,real,324
-2,2,real,2659
-2,2,modified,3771
-2,2,modified,3563
2,2,real,150
-2,2,modified,3258
-2,2,modified,3449
-2,2,modified,3885
-2,2,real,1062
-2,2,modified,3747
-2,2,modified,3191
-2,2,modified,3484
2,2,real,984
2,2,real,938
-2,2,modified,3679
2,2,real,1859
-2,2,real,1767
2,2,real,446
-2,2,modified,3429
2,2,real,2899
-2,2,modified,3792
-2,2,modified,3514
2,2,real,1876
-2,2,real,2855
-2,2,real,391
-2,2,modified,3663
-2,2,modified,4032
-2,2,modified,3585
-2,2,modified,3896
-2,2,modified,3308
-2,2,modified,3355
-2,2,modified,3580
-2,2,modified,3648
-2,2,modified,3875
2,3,real,2788
-2,3,modified,3633
-2,3,modified,4054
-2,3,modified,3191
-2,3,modified,3708
-2,3,modified,3702
2,3,real,19
1,3,real,194
1,3,real,988
-2,3,modified,3320
-2,3,real,2812
-1,3,modified,3752
-1,3,real,1338
1,3,real,960
2,3,real,2870
-2,3,modified,3636
1,3,real,1154
-2,3,real,2662
1,3,real,2818
1,3,modified,3754
-2,3,modified,3737
2,3,real,177
-1,3,modified,3963
-2,3,modified,3592
-2,3,modified,3492
2,3,real,1007
2,3,real,1063
-2,3,modified,3707
2,3,real,753
-2,3,modified,3439
2,3,real,2097
2,3,real,2342
2,3,real,443
-2,3,modified,4025
-2,3,modified,3535
-2,3,modified,3360
1,3,real,1094
-2,3,modified,3209
-2,3,modified,3328
-1,3,real,2577
-2,3,modified,3882
-2,3,modified,4045
2,3,real,1547
2,3,real,2
-2,3,modified,3515
-2,3,modified,3508
1,3,real,1926
1,3,real,114
2,3,real,2519
-2,3,modified,3859
2,3,real,2030
-2,3,modified,4036
2,3,real,475
-2,3,modified,4002
1,3,modified,3420
2,3,real,2414
-2,3,modified,3673
-2,3,modified,3705
2,3,real,1498
-2,3,modified,3184
-2,3,modified,3616
-2,3,real,294
2,3,real,1622
-2,3,modified,3164
-1,3,real,581
-2,3,modified,3753
2,3,real,1974
-2,3,modified,3441
2,3,real,2607
-2,3,modified,3395
2,3,real,2317
-2,3,modified,3686
-2,3,modified,3321
2,3,real,2121
-2,3,modified,3414
-2,3,modified,3995
2,3,real,1605
2,3,real,1766
2,3,real,2277
-2,3,modified,3602
-1,3,real,2930
2,3,real,1589
1,3,real,429
-2,3,modified,3759
-1,3,real,1477
-2,3,modified,4056
-2,3,modified,3168
-2,3,modified,4013
1,3,real,2772
2,3,real,1952
-2,3,modified,3412
-2,3,modified,3389
2,3,real,1097
-2,3,modified,3910
1,3,real,2323
1,3,real,1549
-2,3,real,1287
-2,3,modified,4022
1,3,real,2149
-2,3,modified,4071
-1,4,modified,3652
1,4,modified,3950
1,4,real,913
-2,4,modified,3915
2,4,real,1124
-2,4,modified,3693
-2,4,modified,4063
2,4,real,305
-2,4,modified,3458
1,4,real,1270
2,4,real,1865
-2,4,modified,3304
1,4,real,2609
-2,4,modified,3666
2,4,real,1286
0,4,real,175
1,4,real,1421
1,4,real,273
1,4,real,2335
2,4,real,1857
-2,4,modified,3251
2,4,real,765
-2,4,modified,3547
2,4,real,513
-2,4,modified,3592
1,4,real,2819
-2,4,modified,3218
1,4,real,2551
-2,4,modified,3648
2,4,real,2067
-2,4,modified,3444
2,4,real,1517
2,4,real,2455
1,4,real,805
-2,4,modified,3193
-2,4,real,2118
2,4,real,2136
-2,4,modified,3425
-2,4,modified,3717
-2,4,real,2151
-2,4,modified,3555
-2,4,real,1720
2,4,real,1955
2,4,real,1504
-2,4,real,1579
-2,4,modified,3712
1,4,real,774
-2,4,modified,3486
-2,4,modified,3243
-2,4,modified,3533
-2,4,modified,3293
2,4,real,1250
2,4,real,344
2,4,real,2057
2,4,real,2777
-2,4,modified,3294
-2,4,real,439
2,4,real,1992
-2,4,modified,3539
-2,4,modified,3309
-2,4,modified,3597
-2,4,real,2875
-2,4,modified,3287
2,4,real,2886
-2,4,real,2421
2,4,real,1356
-2,4,modified,3322
-2,4,modified,3387
1,4,real,1129
2,4,real,2065
-2,4,modified,3605
-2,4,modified,3655
2,4,real,2913
1,4,real,1718
-2,4,modified,3715
2,4,real,1238
1,4,real,405
-2,4,modified,3214
-2,4,modified,3551
-2,4,modified,3598
-2,4,modified,4001
1,4,real,2413
-2,4,modified,3161
1,4,real,929
-2,4,modified,4048
2,4,real,1257
-2,4,modified,4003
-2,4,modified,3808
2,4,real,1152
-2,4,modified,3645
-2,4,modified,3380
2,4,real,118
-2,4,modified,4018
-2,4,modified,3469
-2,4,modified,3756
-2,4,modified,3867
-2,4,modified,3572
-1,4,modified,3691
-2,4,modified,3276
2,4,real,1482
-2,5,modified,3584
2,5,real,232
-2,5,modified,3681
-1,5,modified,4003
-2,5,modified,3248
-2,5,modified,3724
-2,5,modified,3706
-2,5,modified,3898
2,5,real,1804
1,5,real,1459
-2,5,real,1878
-2,5,modified,3240
1,5,real,910
2,5,real,2270
-2,5,modified,3624
-2,5,modified,3373
2,5,real,2506
-2,5,modified,3630
-2,5,modified,3255
2,5,real,2488
2,5,real,2419
-2,5,modified,3492
-2,5,modified,3408
2,5,real,2675
-2,5,modified,3289
-2,5,real,335
2,5,real,2963
-2,5,modified,3395
2,5,real,1369
-2,5,modified,3262
2,5,real,1949
2,5,real,1600
-2,5,modified,4024
2,5,real,2782
-2,5,modified,3777
2,5,real,1654
1,5,real,5
2,5,real,1733
-2,5,modified,3345
2,5,real,1358
2,5,real,1108
-2,5,modified,3396
2,5,real,2465
2,5,real,2260
-2,5,modified,3993
0,5,modified,3940
-2,5,modified,3407
-2,5,modified,3445
-2,5,modified,3270
2,5,real,316
2,5,real,2862
-2,5,modified,3669
-2,5,modified,3733
2,5,real,1186
-2,5,modified,3758
-1,5,modified,3468
2,5,real,165
2,5,real,786
-2,5,modified,3919
-1,5,modified,3583
2,5,real,2706
2,5,real,2931
2,5,real,225
2,5,real,1041
2,5,real,2384
2,5,real,909
-1,5,modified,3848
1,5,real,82
1,5,real,2825
-2,5,modified,4027
-2,5,modified,3476
-2,5,modified,3835
2,5,real,2570
2,5,real,122
-1,5,modified,3322
2,5,real,2042
-2,5,modified,3263
-2,5,modified,3920
1,5,real,325
1,5,modified,3933
2,5,real,2319
-2,5,modified,3233
-2,5,modified,3862
1,5,real,1121
-2,5,modified,3607
2,5,real,1398
2,5,real,1000
2,5,real,1498
1,5,modified,3267
1,5,real,2478
1,5,real,108
-1,5,modified,3764
-2,5,modified,3587
2,5,real,2336
-2,5,modified,3285
-2,5,modified,3213
2,5,real,982
-2,5,modified,3649
-2,5,modified,3865
1,5,real,44
1,6,real,1966
-2,6,modified,3552
1,6,real,1072
0,6,real,2543
-2,6,modified,3336
-2,6,modified,3259
-2,6,modified,3179
-2,6,modified,3185
-2,6,modified,3745
1,6,real,1589
-2,6,modified,3414
-2,6,real,916
1,6,real,1534
2,6,real,582
1,6,real,531
-2,6,modified,3287
1,6,real,1796
-2,6,modified,3821
-2,6,modified,3998
-2,6,modified,3985
-2,6,modified,3492
-2,6,modified,4030
1,6,real,1549
1,6,real,1822
1,6,real,561
-2,6,modified,4059
1,6,real,2777
-1,6,modified,3324
-2,6,modified,3295
-2,6,modified,3824
2,6,real,2870
-2,6,modified,4027
2,6,real,2259
1,6,real,2385
-1,6,real,2659
-2,6,modified,3658
-2,6,modified,3359
1,6,real,1472
-2,6,modified,3992
1,6,real,1882
1,6,real,1686
1,6,real,1339
1,6,real,1583
-2,6,modified,3901
-2,6,modified,3945
-2,6,modified,3885
0,6,modified,4072
1,6,real,2634
-2,6,modified,3219
-2,6,modified,3730
2,6,real,1832
-1,6,real,225
1,6,modified,3939
-2,6,modified,3560
-2,6,modified,3935
-2,6,modified,3211
-2,6,modified,3422
1,6,real,87
-2,6,modified,3460
1,6,real,577
2,6,real,781
1,6,real,2616
-1,6,real,924
1,6,real,1029
1,6,real,1041
-2,6,modified,3521
-1,6,real,1860
0,6,real,23
1,6,real,1094
1,6,real,1911
1,6,real,1700
-1,6,real,1338
-2,6,modified,3543
1,6,real,930
-2,6,modified,3630
-2,6,modified,3984
1,6,real,2583
-2,6,modified,3702
-2,6,modified,3940
-2,6,modified,3956
2,6,real,2466
0,6,real,20
-2,6,modified,3805
2,6,real,316
-2,6,modified,3468
-2,6,modified,3647
-2,6,modified,3900
-2,6,modified,3917
-2,6,modified,3757
-2,6,modified,3533
1,6,real,2081
1,6,real,450
1,6,real,1849
1,6,real,1665
1,6,real,1664
1,6,real,1489
-2,6,modified,4028
-2,6,modified,3322
-2,6,real,190
-2,6,modified,3739
-1,7,real,1535
-2,7,modified,3630
1,7,real,1601
2,7,real,1765
-2,7,modified,3642
1,7,real,2661
-2,7,real,1737
1,7,real,1481
-1,7,modified,3363
-1,7,real,2403
2,7,real,1749
-1,7,real,159
1,7,real,2832
-1,7,modified,3202
-1,7,modified,3767
2,7,real,1627
2,7,real,1347
-1,7,modified,3645
-2,7,modified,3537
-2,7,real,970
1,7,real,2739
-2,7,real,45
1,7,real,817
-2,7,real,551
-1,7,real,2828
1,7,real,2521
-2,7,modified,3842
2,7,real,2576
-1,7,modified,3801
1,7,modified,3475
-1,7,modified,3955
-1,7,modified,3556
-2,7,modified,3588
-2,7,modified,3960
-1,7,real,642
-2,7,modified,3744
-1,7,modified,3795
-2,7,modified,3776
-2,7,real,1000
-2,7,modified,3258
2,7,real,1942
-2,7,modified,3344
-2,7,modified,3721
-1,7,real,2010
1,7,modified,3949
-2,7,modified,3686
-2,7,real,2709
-1,7,real,1741
-2,7,modified,4002
-2,7,modified,3353
-2,7,real,1549
-1,7,real,1987
-1,7,modified,3301
-1,7,real,2068
-1,7,modified,3582
-1,7,real,17
2,7,real,2116
2,7,real,2393
-1,7,real,1242
-1,7,real,2324
-2,7,modified,3733
-2,7,modified,3419
-1,7,real,1423
-2,7,modified,3706
-2,7,modified,3882
-2,7,modified,3236
-2,7,modified,3931
-2,7,modified,3462
-2,7,real,442
-1,7,real,212
-1,7,modified,3959
1,7,real,2765
-2,7,modified,3255
-1,7,real,1099
-2,7,modified,3395
-2,7,modified,4054
-1,7,real,119
-1,7,modified,3520
1,7,modified,3174
2,7,real,1027
2,7,modified,3447
-1,7,modified,3577
-1,7,modified,3194
1,7,real,2193
-1,7,real,2670
-2,7,modified,3259
-2,7,real,2138
2,7,real,2355
1,7,modified,3946
-1,7,real,1262
-1,7,modified,3730
-1,7,real,840
2,7,real,563
2,7,real,507
-2,7,modified,4014
2,7,real,763
-2,7,modified,3292
-2,7,modified,4028
1,7,modified,3330
-2,7,modified,3228
-1,8,real,1140
-2,8,modified,3388
2,8,real,1615
-1,8,modified,3621
-1,8,modified,3688
-2,8,modified,3453
-2,8,modified,3223
2,8,real,2386
-2,8,modified,3724
-2,8,real,2867
2,8,real,15
-2,8,modified,3919
2,8,real,697
1,8,modified,3438
-2,8,modified,3592
1,8,real,233
1,8,real,967
-2,8,modified,3918
-1,8,modified,3301
-2,8,modified,3472
-2,8,modified,3744
-2,8,modified,3397
-2,8,modified,3553
2,8,real,2823
-2,8,modified,3390
-2,8,modified,3498
-2,8,modified,3263
1,8,real,739
2,8,real,490
-2,8,modified,4031
2,8,real,1059
2,8,real,719
2,8,real,2667
-2,8,modified,3814
-2,8,modified,3471
2,8,real,1541
-1,8,real,1383
2,8,real,2387
-2,8,real,328
-2,8,modified,4013
2,8,real,2829
2,8,real,2566
-2,8,modified,3317
2,8,real,1770
2,8,real,1286
2,8,real,1774
-2,8,modified,3837
-1,8,modified,3493
-2,8,real,2719
-2,8,modified,3477
1,8,modified,3893
2,8,real,317
-2,8,modified,3752
-2,8,modified,3479
-2,8,modified,4033
2,8,real,1029
1,8,real,1384
-2,8,modified,3178
1,8,real,2883
2,8,real,85
2,8,real,823
2,8,real,452
2,8,real,1716
2,8,modified,3739
-2,8,modified,3714
-2,8,modified,3951
2,8,real,2493
-2,8,modified,4019
-2,8,modified,3508
-2,8,modified,3979
-2,8,modified,3523
2,8,real,2599
2,8,real,1675
2,8,real,2378
-2,8,real,929
1,8,real,1641
-2,8,real,1113
-2,8,real,995
1,8,real,256
-2,8,modified,3962
-2,8,modified,3168
-2,8,modified,3635
2,8,real,1560
-2,8,modified,3483
2,8,real,603
-2,8,real,1191
2,8,real,1150
-2,8,modified,3923
-2,8,real,352
-2,8,modified,3596
-2,8,real,354
2,8,real,2902
-1,8,real,399
-2,8,modified,3807
-2,8,modified,3847
-2,8,modified,3238
-2,8,modified,3295
-2,8,modified,3559
-2,8,modified,3564
2,8,real,1540
-1,9,modified,3590
2,9,real,99
2,9,real,2465
-1,9,modified,3453
1,9,real,2452
-1,9,modified,3213
-2,9,modified,3277
-2,9,modified,3297
1,9,real,2249
-2,9,modified,4034
-2,9,modified,3949
2,9,real,1064
2,9,real,126
-2,9,modified,3362
-2,9,modified,3916
-2,9,modified,3878
-2,9,modified,4017
-2,9,modified,3531
2,9,real,2434
2,9,real,2625
1,9,real,2737
-2,9,modified,3990
-2,9,modified,4054
-2,9,modified,3279
-2,9,modified,3808
2,9,real,1985
-2,9,modified,3720
-2,9,modified,3755
-2,9,modified,3189
-2,9,modified,3976
2,9,real,2451
1,9,real,2686
1,9,real,1258
2,9,real,2075
-2,9,modified,3495
2,9,real,136
-2,9,modified,3363
-2,9,modified,3636
2,9,real,942
2,9,real,493
2,9,real,1049
-2,9,modified,3305
-2,9,modified,3222
-2,9,modified,3987
2,9,real,2225
-2,9,modified,3647
-2,9,modified,3278
1,9,real,1982
-2,9,modified,3518
2,9,real,2162
1,9,real,1565
1,9,real,1217
1,9,real,2709
2,9,real,1940
-2,9,modified,3893
1,9,real,2564
1,9,real,2629
-2,9,modified,3475
2,9,real,1019
2,9,real,1953
2,9,real,2422
-2,9,modified,3411
2,9,real,899
2,9,real,1293
-2,9,modified,3506
-2,9,modified,3252
-2,9,modified,3971
-2,9,modified,3912
-2,9,modified,3586
2,9,real,1516
-2,9,modified,3511
-1,9,modified,3245
1,9,real,1936
2,9,real,1357
-2,9,modified,3770
2,9,real,2114
-2,9,modified,3880
2,9,real,1749
2,9,real,703
2,9,real,2583
-1,9,real,2327
1,9,real,51
-2,9,modified,3688
-1,9,real,851
-2,9,modified,3497
-2,9,modified,3221
-1,9,real,571
-2,9,modified,3488
-2,9,modified,3780
2,9,real,1852
2,9,real,2002
-2,9,modified,3998
1,9,real,2161
-2,9,modified,3850
-2,9,modified,3643
2,9,real,2433
1,9,real,2474
-2,9,modified,3265
1,9,real,929
1,9,real,1272
-2,10,modified,3972
2,10,real,2001
-1,10,modified,3566
-2,10,modified,3620
2,10,real,2497
1,10,real,2913
-1,10,modified,3526
1,10,real,1873
2,10,real,278
-2,10,modified,3315
2,10,real,616
-2,10,modified,3575
2,10,real,681
-2,10,modified,3838
2,10,real,2755
-2,10,modified,3185
2,10,real,51
-2,10,modified,3950
-1,10,modified,3938
2,10,real,1621
-2,10,real,2345
2,10,real,1706
2,10,real,2110
-2,10,modified,3370
-2,10,modified,3882
-2,10,modified,3645
-2,10,modified,3262
-2,10,modified,3437
2,10,real,905
-1,10,real,293
-2,10,real,350
-1,10,real,1119
-2,10,modified,3560
-2,10,modified,3482
-2,10,modified,3418
2,10,real,1782
1,10,real,1966
-2,10,modified,3663
2,10,real,2117
1,10,real,1952
-1,10,modified,3230
0,10,real,106
1,10,real,1937
-2,10,modified,3203
-2,10,modified,3697
-1,10,modified,3394
1,10,real,2226
-1,10,modified,3308
-2,10,modified,3890
-2,10,modified,3817
-2,10,modified,3299
-2,10,modified,3784
-2,10,modified,3469
1,10,real,385
2,10,real,1165
-2,10,real,675
-2,10,modified,3295
-1,10,modified,4053
2,10,real,2198
1,10,real,2926
-2,10,modified,3954
1,10,real,850
1,10,real,1752
2,10,real,1358
-2,10,modified,3933
1,10,real,482
-2,10,modified,3813
-2,10,modified,4034
-1,10,real,874
0,10,real,2049
-2,10,real,1163
2,10,real,1727
2,10,real,1719
-2,10,modified,3970
1,10,real,42
2,10,real,1571
1,10,real,1174
-2,10,modified,3352
-2,10,modified,3720
-2,10,modified,3866
-2,10,modified,3293
1,10,real,1099
-2,10,modified,3524
2,10,real,2044
-2,10,modified,3208
-2,10,modified,3377
-2,10,modified,3969
-2,10,modified,4068
2,10,real,88
1,10,real,1709
1,10,real,123
-1,10,modified,3493
-2,10,modified,3416
-2,10,modified,3830
2,10,real,2595
2,10,real,2696
-2,10,modified,3357
-1,10,real,1145
1,10,real,789
-2,10,modified,3644
-2,11,real,627
-2,11,modified,4068
-1,11,real,364
-2,11,modified,3393
2,11,real,1589
-2,11,modified,3726
-2,11,modified,3627
2,11,real,2492
2,11,real,914
2,11,real,732
-1,11,modified,3718
-2,11,modified,3536
-2,11,modified,3633
-2,11,modified,3211
1,11,real,865
-2,11,modified,3871
-2,11,modified,3289
1,11,real,1989
-1,11,modified,3519
-2,11,modified,3469
1,11,real,1652
0,11,real,1234
